LICENSE PLATE,VIN,MAKE,MODEL,COVERAGE VALID FROM,COVERAGE VALID TO,COUNTRY
,LGXCE4CBXP2097826,BYD,ATTO 3,26/10/2023,25/10/2027,UK
,LGXCE4CBXP2097809,BYD,ATTO 3,29/03/2024,28/03/2028,UK
,LGXCE4CBXP2096997,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2096983,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2096966,BYD,ATTO 3,22/03/2024,21/03/2028,BE
,LGXCE4CBXP2096952,BYD,ATTO 3,12/4/2024,11/4/2028,BE
,LGXCE4CBXP2096949,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2096935,BYD,ATTO 3,29/03/2024,28/03/2028,BE
,LGXCE4CBXP2096921,BYD,ATTO 3,22/01/2024,21/01/2028,BE
,LGXCE4CBXP2096918,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2096899,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2095333,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2095316,BYD,ATTO 3,4/6/2024,3/6/2028,BE
,LGXCE4CBXP2095302,BYD,ATTO 3,16/02/2024,15/02/2028,BE
,LGXCE4CBXP2095297,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2095283,BYD,ATTO 3,11/12/2023,10/12/2027,BE
,LGXCE4CBXP2095266,BYD,ATTO 3,3/11/2023,2/11/2027,DE
,LGXCE4CBXP2095252,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2095249,BYD,ATTO 3,22/02/2024,21/02/2028,BE
,LGXCE4CBXP2094635,BYD,ATTO 3,24/10/2023,23/10/2027,DE
,LGXCE4CBXP2094621,BYD,ATTO 3,19/10/2023,18/10/2027,DE
,LGXCE4CBXP2094604,BYD,ATTO 3,23/10/2023,22/10/2027,DE
,LGXCE4CBXP2094599,BYD,ATTO 3,12/10/2023,11/10/2027,DE
,LGXCE4CBXP2094585,BYD,ATTO 3,27/12/2023,26/12/2027,DE
,LGXCE4CBXP2094571,BYD,ATTO 3,23/11/2023,22/11/2027,DE
,LGXCE4CBXP2094568,BYD,ATTO 3,20/12/2023,19/12/2027,FR
,LGXCE4CBXP2094540,BYD,ATTO 3,4/1/2024,3/1/2028,ES
,LGXCE4CBXP2094537,BYD,ATTO 3,23/11/2023,22/11/2027,DE
,LGXCE4CBXP2090262,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2090259,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2090245,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2090231,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2090228,BYD,ATTO 3,11/1/2024,10/1/2028,BE
,LGXCE4CBXP2090214,BYD,ATTO 3,8/3/2024,7/3/2028,BE
,LGXCE4CBXP2090200,BYD,ATTO 3,6/2/2024,5/2/2028,BE
,LGXCE4CBXP2088981,BYD,ATTO 3,27/09/2023,26/09/2027,DE
,LGXCE4CBXP2088964,BYD,ATTO 3,13/10/2023,12/10/2027,DE
,LGXCE4CBXP2088933,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2088916,BYD,ATTO 3,20/09/2023,19/09/2027,DE
,LGXCE4CBXP2088737,BYD,ATTO 3,24/11/2023,23/11/2027,DE
,LGXCE4CBXP2088723,BYD,ATTO 3,22/04/2024,21/04/2028,NL
,LGXCE4CBXP2087362,BYD,ATTO 3,31/10/2023,30/10/2027,DE
,LGXCE4CBXP2087328,BYD,ATTO 3,29/09/2023,28/09/2027,DE
,LGXCE4CBXP2087314,BYD,ATTO 3,31/10/2023,30/10/2027,DE
,LGXCE4CBXP2087300,BYD,ATTO 3,15/09/2023,14/09/2027,DE
,LGXCE4CBXP2087295,BYD,ATTO 3,21/09/2023,20/09/2027,DE
,LGXCE4CBXP2087281,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2087278,BYD,ATTO 3,3/10/2023,2/10/2027,SE
,LGXCE4CBXP2087264,BYD,ATTO 3,21/09/2023,20/09/2027,DE
,LGXCE4CBXP2087250,BYD,ATTO 3,25/09/2023,24/09/2027,DE
,LGXCE4CBXP2087247,BYD,ATTO 3,16/10/2023,15/10/2027,DE
,LGXCE4CBXP2087233,BYD,ATTO 3,20/09/2023,19/09/2027,DE
,LGXCE4CBXP2087202,BYD,ATTO 3,11/10/2023,10/10/2027,DE
,LGXCE4CBXP2087197,BYD,ATTO 3,27/09/2023,26/09/2027,DE
,LGXCE4CBXP2087166,BYD,ATTO 3,28/09/2023,27/09/2027,DE
,LGXCE4CBXP2087152,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2087149,BYD,ATTO 3,29/09/2023,28/09/2027,DE
,LGXCE4CBXP2087135,BYD,ATTO 3,29/09/2023,28/09/2027,DE
,LGXCE4CBXP2087104,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2087040,BYD,ATTO 3,3/11/2023,2/11/2027,DE
,LGXCE4CBXP2087037,BYD,ATTO 3,25/08/2023,24/08/2027,DE
,LGXCE4CBXP2087023,BYD,ATTO 3,29/09/2023,28/09/2027,DE
,LGXCE4CBXP2078872,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078869,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078855,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078841,BYD,ATTO 3,16/04/2024,15/04/2028,BE
,LGXCE4CBXP2078838,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078824,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078810,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078807,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078791,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078788,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078774,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078757,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078743,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078726,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078712,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2078709,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076362,BYD,ATTO 3,27/03/2024,26/03/2028,UK
,LGXCE4CBXP2076345,BYD,ATTO 3,8/3/2024,7/3/2028,UK
,LGXCE4CBXP2076328,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076314,BYD,ATTO 3,1/3/2024,29/02/2028,ES
,LGXCE4CBXP2076300,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076295,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076281,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076250,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076247,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076233,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2076183,BYD,ATTO 3,20/09/2023,19/09/2027,DE
,LGXCE4CBXP2075325,BYD,ATTO 3,8/3/2024,7/3/2028,UK
,LGXCE4CBXP2075292,BYD,ATTO 3,24/01/2024,23/01/2028,UK
,LGXCE4CBXP2075289,BYD,ATTO 3,20/03/2024,19/03/2028,UK
,LGXCE4CBXP2075230,BYD,ATTO 3,19/03/2024,18/03/2028,UK
,LGXCE4CBXP2075227,BYD,ATTO 3,22/02/2024,21/02/2028,UK
,LGXCE4CBXP2075213,BYD,ATTO 3,18/01/2024,17/01/2028,UK
,LGXCE4CBXP2073266,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2073199,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2073185,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2073168,BYD,ATTO 3,26/09/2023,25/09/2027,DE
,LGXCE4CBXP2073154,BYD,ATTO 3,4/4/2024,3/4/2028,UK
,LGXCE4CBXP2073137,BYD,ATTO 3,24/08/2023,23/08/2027,IE
,LGXCE4CBXP2073123,BYD,ATTO 3,14/09/2023,13/09/2027,IE
,LGXCE4CBXP2073087,BYD,ATTO 3,17/10/2023,16/10/2027,IE
,LGXCE4CBXP2072201,BYD,ATTO 3,11/12/2023,10/12/2027,UK
,LGXCE4CBXP2072165,BYD,ATTO 3,11/3/2024,10/3/2028,UK
,LGXCE4CBXP2071940,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071937,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071923,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071906,BYD,ATTO 3,6/11/2023,5/11/2027,DE
,LGXCE4CBXP2071873,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071856,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071842,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071811,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071808,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2071162,BYD,ATTO 3,10/8/2023,9/8/2027,IE
,LGXCE4CBXP2071159,BYD,ATTO 3,25/09/2023,24/09/2027,IE
,LGXCE4CBXP2071145,BYD,ATTO 3,10/8/2023,9/8/2027,IE
,LGXCE4CBXP2071131,BYD,ATTO 3,14/03/2024,13/03/2028,UK
,LGXCE4CBXP2071128,BYD,ATTO 3,13/09/2023,12/9/2027,IE
,LGXCE4CBXP2071114,BYD,ATTO 3,14/03/2024,13/03/2028,UK
,LGXCE4CBXP2071100,BYD,ATTO 3,29/09/2023,28/09/2027,IE
,LGXCE4CBXP2071081,BYD,ATTO 3,8/12/2023,7/12/2027,UK
,LGXCE4CBXP2071078,BYD,ATTO 3,23/10/2023,22/10/2027,IE
,LGXCE4CBXP2071064,BYD,ATTO 3,23/10/2023,22/10/2027,IE
,LGXCE4CBXP2071050,BYD,ATTO 3,20/09/2023,19/09/2027,IE
,LGXCE4CBXP2071047,BYD,ATTO 3,27/10/2023,26/10/2027,IE
,LGXCE4CBXP2071033,BYD,ATTO 3,8/12/2023,7/12/2027,UK
,LGXCE4CBXP2071016,BYD,ATTO 3,6/10/2023,5/10/2027,UK
,LGXCE4CBXP2071002,BYD,ATTO 3,26/07/2023,25/07/2027,IE
,LGXCE4CBXP2070996,BYD,ATTO 3,20/03/2024,19/03/2028,UK
,LGXCE4CBXP2070867,BYD,ATTO 3,19/01/2024,18/01/2028,FR
,LGXCE4CBXP2070853,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070836,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070822,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070819,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070805,BYD,ATTO 3,9/2/2024,8/2/2028,AT
,LGXCE4CBXP2070089,BYD,ATTO 3,27/09/2023,26/09/2027,DE
,LGXCE4CBXP2070075,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070061,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070058,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2070044,BYD,ATTO 3,3/11/2023,2/11/2027,DE
,LGXCE4CBXP2070030,BYD,ATTO 3,14/03/2024,13/03/2028,UK
,LGXCE4CBXP2070027,BYD,ATTO 3,19/07/2023,18/07/2027,IE
,LGXCE4CBXP2070013,BYD,ATTO 3,8/11/2023,7/11/2027,UK
,LGXCE4CBXP2069993,BYD,ATTO 3,25/03/2024,24/03/2028,UK
,LGXCE4CBXP2069976,BYD,ATTO 3,18/03/2024,17/03/2028,UK
,LGXCE4CBXP2069962,BYD,ATTO 3,21/07/2023,20/07/2027,IE
,LGXCE4CBXP2069931,BYD,ATTO 3,3/7/2023,2/7/2027,IE
,LGXCE4CBXP2069914,BYD,ATTO 3,12/10/2023,11/10/2027,UK
,LGXCE4CBXP2069895,BYD,ATTO 3,19/03/2024,18/03/2028,UK
,LGXCE4CBXP2069878,BYD,ATTO 3,13/07/2023,12/7/2027,IE
,LGXCE4CBXP2069850,BYD,ATTO 3,14/03/2024,13/03/2028,UK
,LGXCE4CBXP2069847,BYD,ATTO 3,7/3/2024,6/3/2028,UK
,LGXCE4CBXP2069833,BYD,ATTO 3,28/02/2024,27/02/2028,UK
,LGXCE4CBXP2069816,BYD,ATTO 3,7/11/2023,6/11/2027,UK
,LGXCE4CBXP2069797,BYD,ATTO 3,12/7/2023,11/7/2027,IE
,LGXCE4CBXP2069783,BYD,ATTO 3,1/3/2024,29/02/2028,UK
,LGXCE4CBXP2069766,BYD,ATTO 3,24/07/2023,23/07/2027,IE
,LGXCE4CBXP2068777,BYD,ATTO 3,19/01/2024,18/01/2028,FR
,LGXCE4CBXP2068763,BYD,ATTO 3,4/3/2023,3/3/2027,ES
,LGXCE4CBXP2068746,BYD,ATTO 3,27/05/2024,26/05/2028,AT
,LGXCE4CBXP2068732,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2068715,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2067905,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2065328,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2065314,BYD,ATTO 3,14/09/2023,13/09/2027,IT
,LGXCE4CBXP2065281,BYD,ATTO 3,21/12/2023,20/12/2027,IT
,LGXCE4CBXP2065278,BYD,ATTO 3,5/12/2023,4/12/2027,SE
,LGXCE4CBXP2065247,BYD,ATTO 3,20/12/2023,19/12/2027,DE
,LGXCE4CBXP2065216,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2065202,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2065183,BYD,ATTO 3,28/12/2023,27/12/2027,DE
,LGXCE4CBXP2064065,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2064051,BYD,ATTO 3,28/12/2023,27/12/2027,DE
,LGXCE4CBXP2064034,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2064020,BYD,ATTO 3,5/2/2024,4/2/2028,AT
,LGXCE4CBXP2064017,BYD,ATTO 3,20/02/2024,19/02/2028,AT
,LGXCE4CBXP2064003,BYD,ATTO 3,19/12/2023,18/12/2027,DE
,LGXCE4CBXP2063997,BYD,ATTO 3,25/08/2023,24/08/2027,DE
,LGXCE4CBXP2063983,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2063966,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2063952,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2063949,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2063935,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2063918,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2063904,BYD,ATTO 3,9/11/2023,8/11/2027,DE
,LGXCE4CBXP2063899,BYD,ATTO 3,20/12/2023,19/12/2027,DE
,LGXCE4CBXP2056838,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2055978,BYD,ATTO 3,25/10/2023,24/10/2027,AT
,LGXCE4CBXP2054023,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2053874,BYD,ATTO 3,27/02/2024,26/02/2028,UK
,LGXCE4CBXP2053860,BYD,ATTO 3,12/10/2023,11/10/2027,UK
,LGXCE4CBXP2053857,BYD,ATTO 3,18/01/2024,17/01/2028,UK
,LGXCE4CBXP2053843,BYD,ATTO 3,17/01/2024,16/01/2028,UK
,LGXCE4CBXP2053826,BYD,ATTO 3,12/10/2023,11/10/2027,UK
,LGXCE4CBXP2053812,BYD,ATTO 3,7/3/2024,6/3/2028,UK
,LGXCE4CBXP2053809,BYD,ATTO 3,17/01/2024,16/01/2028,UK
,LGXCE4CBXP2053793,BYD,ATTO 3,15/08/2023,14/08/2027,IE
,LGXCE4CBXP2053776,BYD,ATTO 3,9/10/2023,8/10/2027,UK
,LGXCE4CBXP2053762,BYD,ATTO 3,6/6/2024,5/6/2028,UK
,LGXCE4CBXP2053759,BYD,ATTO 3,12/10/2023,11/10/2027,IE
,LGXCE4CBXP2053731,BYD,ATTO 3,27/03/2024,26/03/2028,UK
,LGXCE4CBXP2053728,BYD,ATTO 3,4/3/2024,3/3/2028,UK
,LGXCE4CBXP2053714,BYD,ATTO 3,19/12/2023,18/12/2027,UK
,LGXCE4CBXP2053700,BYD,ATTO 3,19/02/2024,18/02/2028,UK
,LGXCE4CBXP2053695,BYD,ATTO 3,6/6/2024,5/6/2028,UK
,LGXCE4CBXP2053664,BYD,ATTO 3,10/8/2023,9/8/2027,UK
,LGXCE4CBXP2053650,BYD,ATTO 3,23/05/2024,22/05/2028,UK
,LGXCE4CBXP2053647,BYD,ATTO 3,17/07/2023,16/07/2027,UK
,LGXCE4CBXP2053633,BYD,ATTO 3,31/07/2023,30/07/2027,UK
,LGXCE4CBXP2045886,BYD,ATTO 3,10/4/2024,9/4/2028,PT
,LGXCE4CBXP2045872,BYD,ATTO 3,11/3/2024,10/3/2028,FR
,LGXCE4CBXP2045841,BYD,ATTO 3,5/2/2024,4/2/2028,IT
,LGXCE4CBXP2045824,BYD,ATTO 3,23/11/2023,22/11/2027,DE
,LGXCE4CBXP2045807,BYD,ATTO 3,27/11/2023,26/11/2027,DE
,LGXCE4CBXP2045791,BYD,ATTO 3,19/12/2023,18/12/2027,UK
,LGXCE4CBXP2045788,BYD,ATTO 3,22/03/2024,21/03/2028,UK
,LGXCE4CBXP2045774,BYD,ATTO 3,11/11/2023,10/11/2027,UK
,LGXCE4CBXP2045760,BYD,ATTO 3,19/02/2024,18/02/2028,UK
,LGXCE4CBXP2045743,BYD,ATTO 3,23/02/2024,22/02/2028,UK
,LGXCE4CBXP2045726,BYD,ATTO 3,28/09/2023,27/09/2027,UK
,LGXCE4CBXP2045712,BYD,ATTO 3,27/01/2024,26/01/2028,UK
,LGXCE4CBXP2045709,BYD,ATTO 3,14/02/2024,13/02/2028,UK
,LGXCE4CBXP2045693,BYD,ATTO 3,29/03/2024,28/03/2028,UK
,LGXCE4CBXP2045676,BYD,ATTO 3,24/10/2023,23/10/2027,UK
,LGXCE4CBXP2045662,BYD,ATTO 3,13/02/2024,12/2/2028,UK
,LGXCE4CBXP2045631,BYD,ATTO 3,29/09/2023,28/09/2027,IE
,LGXCE4CBXP2045628,BYD,ATTO 3,29/08/2023,28/08/2027,UK
,LGXCE4CBXP2045614,BYD,ATTO 3,4/4/2024,3/4/2028,UK
,LGXCE4CBXP2045600,BYD,ATTO 3,20/03/2024,19/03/2028,UK
,LGXCE4CBXP2045595,BYD,ATTO 3,8/2/2024,7/2/2028,UK
,LGXCE4CBXP2045581,BYD,ATTO 3,16/12/2023,15/12/2027,UK
,LGXCE4CBXP2045578,BYD,ATTO 3,8/2/2024,7/2/2028,UK
,LGXCE4CBXP2045564,BYD,ATTO 3,4/1/2024,3/1/2028,UK
,LGXCE4CBXP2034676,BYD,ATTO 3,26/01/2024,25/01/2028,IT
,LGXCE4CBXP2034662,BYD,ATTO 3,2/7/2024,1/7/2028,NL
,LGXCE4CBXP2034659,BYD,ATTO 3,8/9/2023,7/9/2027,DE
,LGXCE4CBXP2034645,BYD,ATTO 3,8/11/2023,7/11/2027,IT
,LGXCE4CBXP2034631,BYD,ATTO 3,13/12/2023,12/12/2027,IT
,LGXCE4CBXP2034628,BYD,ATTO 3,6/10/2023,5/10/2027,NL
,LGXCE4CBXP2034600,BYD,ATTO 3,20/09/2023,19/09/2027,NL
,LGXCE4CBXP2034595,BYD,ATTO 3,11/7/2023,10/7/2027,NL
,LGXCE4CBXP2034547,BYD,ATTO 3,22/12/2023,21/12/2027,SE
,LGXCE4CBXP2034533,BYD,ATTO 3,27/10/2023,26/10/2027,NL
,LGXCE4CBXP2034497,BYD,ATTO 3,28/04/2023,27/04/2027,AT
,LGXCE4CBXP2033012,BYD,ATTO 3,2/7/2024,1/7/2028,NL
,LGXCE4CBXP2032961,BYD,ATTO 3,26/05/2024,25/05/2028,NL
,LGXCE4CBXP2032930,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2032894,BYD,ATTO 3,10/11/2023,9/11/2027,DE
,LGXCE4CBXP2032880,BYD,ATTO 3,11/12/2023,10/12/2027,AT
,LGXCE4CBXP2032877,BYD,ATTO 3,11/12/2023,10/12/2027,NL
,LGXCE4CBXP2032846,BYD,ATTO 3,1/11/2023,31/10/2027,DE
,LGXCE4CBXP2032832,BYD,ATTO 3,12/6/2024,11/6/2028,NL
,LGXCE4CBXP2032801,BYD,ATTO 3,16/06/2023,15/06/2027,NL
,LGXCE4CBXP2032796,BYD,ATTO 3,2/10/2023,1/10/2027,AT
,LGXCE4CBXP2032782,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2032734,BYD,ATTO 3,30/10/2023,29/10/2027,DE
,LGXCE4CBXP2032717,BYD,ATTO 3,30/10/2023,29/10/2027,DE
,LGXCE4CBXP2032703,BYD,ATTO 3,14/09/2023,13/09/2027,DE
,LGXCE4CBXP2032698,BYD,ATTO 3,8/12/2023,7/12/2027,SE
,LGXCE4CBXP2032684,BYD,ATTO 3,12/12/2023,11/12/2027,HU
,LGXCE4CBXP2032670,BYD,ATTO 3,14/07/2023,13/07/2027,AT
,LGXCE4CBXP2032667,BYD,ATTO 3,28/04/2023,27/04/2027,AT
,LGXCE4CBXP2032636,BYD,ATTO 3,16/06/2023,15/06/2027,NL
,LGXCE4CBXP2032622,BYD,ATTO 3,9/10/2023,8/10/2027,NL
,LGXCE4CBXP2032586,BYD,ATTO 3,4/10/2023,3/10/2027,NL
,LGXCE4CBXP2032572,BYD,ATTO 3,3/7/2024,2/7/2028,NL
,LGXCE4CBXP2032569,BYD,ATTO 3,19/12/2023,18/12/2027,IT
,LGXCE4CBXP2032541,BYD,ATTO 3,16/06/2023,15/06/2027,NL
,LGXCE4CBXP2032538,BYD,ATTO 3,4/8/2023,3/8/2027,DE
,LGXCE4CBXP2032524,BYD,ATTO 3,1/12/2023,30/11/2027,NL
,LGXCE4CBXP2032507,BYD,ATTO 3,6/7/2023,5/7/2027,NL
,LGXCE4CBXP2032488,BYD,ATTO 3,11/5/2023,10/5/2027,NL
,LGXCE4CBXP2032474,BYD,ATTO 3,26/10/2023,25/10/2027,NL
,LGXCE4CBXP2032359,BYD,ATTO 3,22/01/2024,21/01/2028,NL
,LGXCE4CBXP2029252,BYD,ATTO 3,26/07/2023,25/07/2027,IE
,LGXCE4CBXP2029249,BYD,ATTO 3,2/1/2024,1/1/2028,UK
,LGXCE4CBXP2029235,BYD,ATTO 3,4/7/2023,3/7/2027,IE
,LGXCE4CBXP2029221,BYD,ATTO 3,10/1/2024,9/1/2028,UK
,LGXCE4CBXP2029218,BYD,ATTO 3,13/03/2024,12/3/2028,UK
,LGXCE4CBXP2029204,BYD,ATTO 3,3/7/2023,2/7/2027,IE
,LGXCE4CBXP2029185,BYD,ATTO 3,30/01/2024,29/01/2028,UK
,LGXCE4CBXP2029171,BYD,ATTO 3,26/05/2023,25/05/2027,IE
,LGXCE4CBXP2029168,BYD,ATTO 3,26/05/2023,25/05/2027,IE
,LGXCE4CBXP2029154,BYD,ATTO 3,19/12/2023,18/12/2027,UK
,LGXCE4CBXP2029140,BYD,ATTO 3,25/05/2023,24/05/2027,IE
,LGXCE4CBXP2029137,BYD,ATTO 3,18/12/2023,17/12/2027,UK
,LGXCE4CBXP2029123,BYD,ATTO 3,18/08/2023,17/08/2027,UK
,LGXCE4CBXP2029106,BYD,ATTO 3,19/10/2023,18/10/2027,IE
,LGXCE4CBXP2028392,BYD,ATTO 3,20/06/2024,19/06/2028,NL
,LGXCE4CBXP2028375,BYD,ATTO 3,30/11/2023,29/11/2027,DE
,LGXCE4CBXP2028358,BYD,ATTO 3,11/7/2023,10/7/2027,ES
,LGXCE4CBXP2028330,BYD,ATTO 3,15/01/2024,14/01/2028,NL
,LGXCE4CBXP2027999,BYD,ATTO 3,30/11/2023,29/11/2027,UK
,LGXCE4CBXP2027985,BYD,ATTO 3,28/04/2023,27/04/2027,IE
,LGXCE4CBXP2027971,BYD,ATTO 3,23/05/2023,22/05/2027,IE
,LGXCE4CBXP2027968,BYD,ATTO 3,18/05/2023,17/05/2027,IE
,LGXCE4CBXP2027937,BYD,ATTO 3,17/05/2023,16/05/2027,NL
,LGXCE4CBXP2027792,BYD,ATTO 3,3/7/2023,2/7/2027,IE
,LGXCE4CBXP2027789,BYD,ATTO 3,7/11/2023,6/11/2027,UK
,LGXCE4CBXP2027775,BYD,ATTO 3,11/7/2023,10/7/2027,UK
,LGXCE4CBXP2027761,BYD,ATTO 3,17/07/2023,16/07/2027,UK
,LGXCE4CBXP2027758,BYD,ATTO 3,7/11/2023,6/11/2027,UK
,LGXCE4CBXP2027744,BYD,ATTO 3,27/06/2023,26/06/2027,UK
,LGXCE4CBXP2027727,BYD,ATTO 3,10/7/2023,9/7/2027,UK
,LGXCE4CBXP2027713,BYD,ATTO 3,4/7/2023,3/7/2027,UK
,LGXCE4CBXP2027680,BYD,ATTO 3,4/7/2023,3/7/2027,IE
,LGXCE4CBXP2027677,BYD,ATTO 3,14/06/2023,13/06/2027,IE
,LGXCE4CBXP2027663,BYD,ATTO 3,25/07/2023,24/07/2027,UK
,LGXCE4CBXP2027646,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2027632,BYD,ATTO 3,20/03/2024,19/03/2028,ES
,LGXCE4CBXP2027629,BYD,ATTO 3,13/07/2023,12/7/2027,NL
,LGXCE4CBXP2027615,BYD,ATTO 3,22/09/2023,21/09/2027,DE
,LGXCE4CBXP2027601,BYD,ATTO 3,27/12/2023,26/12/2027,NL
,LGXCE4CBXP2027582,BYD,ATTO 3,20/11/2023,19/11/2027,NL
,LGXCE4CBXP2027579,BYD,ATTO 3,20/10/2023,19/10/2027,NL
,LGXCE4CBXP2027565,BYD,ATTO 3,11/10/2023,10/10/2027,NL
,LGXCE4CBXP2027551,BYD,ATTO 3,12/1/2024,11/1/2028,NL
,LGXCE4CBXP2027548,BYD,ATTO 3,11/1/2024,10/1/2028,NL
,LGXCE4CBXP2027534,BYD,ATTO 3,8/2/2024,7/2/2028,UK
,LGXCE4CBXP2027520,BYD,ATTO 3,22/05/2023,21/05/2027,IE
,LGXCE4CBXP2027503,BYD,ATTO 3,21/07/2023,20/07/2027,IE
,LGXCE4CBXP2027498,BYD,ATTO 3,12/1/2024,11/1/2028,UK
,LGXCE4CBXP2027470,BYD,ATTO 3,10/7/2023,9/7/2027,IE
